# {"t_start": 1540913569.7755167, "env_id": 0} 
r,l,t
-311.389294,50,53.383298
-326.245811,57,94.753001
-284.204833,58,145.143707
-353.670745,57,198.02709
8.595343,32,230.198789
-140.151819,42,277.921986
-310.631717,52,332.190428
-328.918375,51,376.017966
-113.116779,43,411.815674
-336.608945,50,451.902604
-70.239832,37,484.834993
-232.106209,47,520.385037
-78.963373,38,554.614593
-40.495355,34,611.321969
10.770255,27,687.052303
19.73746,23,740.165148
17.357881,24,804.225347
21.811006,22,868.377937
21.989366,23,934.245099
19.990593,22,983.110265
20.53121,23,1036.757595
22.804864,22,1088.422464
23.603742,23,1159.285127
25.517564,23,1221.46288
26.423897,22,1281.785621
26.310442,21,1334.837586
27.248526,21,1391.288557
26.861562,21,1464.585419
26.877008,20,1518.575938
30.288318,21,1556.234683
28.270973,23,1610.279929
31.038665,21,1663.898299
28.573187,22,1711.834633
29.529599,21,1762.578421
28.541644,22,1796.525302
29.055546,22,1852.086064
25.217778,22,1902.428026
23.365277,23,1964.483926
25.168828,23,2022.09583
17.331108,23,2081.13319
23.219082,23,2161.380637
23.996774,23,2235.872835
23.492834,23,2321.017599
22.017293,23,2430.331266
20.980983,23,2530.157593
23.585965,23,2614.439768
24.064751,23,2709.40869
25.418671,22,2771.663622
22.855376,24,2849.554584
24.321037,23,2926.017391
26.83459,23,3000.175563
17.660948,25,3075.056581
19.296921,24,3140.304911
-64.591253,39,3235.197747
-96.553084,45,3304.593175
-28.939535,43,3396.282442
-46.822295,40,3478.055487
-0.267414,31,3725.86034
-15.65174,34,3822.975436
-23.302033,34,3912.321904
-65.193752,39,4046.786927
-1.106056,32,4136.027607
-33.427298,37,4254.279272
