# {"t_start": 1540913569.565093, "env_id": 0} 
r,l,t
-314.778439,50,53.176977
-323.997438,60,98.580067
-303.482807,61,150.614656
-245.098237,54,199.397504
6.352171,33,235.015408
-224.384646,47,285.884012
-165.12228,43,331.986625
-330.685841,51,375.907953
-261.124898,50,418.499024
-133.172818,41,450.561209
-62.623713,37,480.380759
-306.949477,49,520.262095
-171.91747,45,558.537359
10.385714,27,610.698824
11.9356,26,683.343915
19.359441,24,736.076288
18.619855,23,798.112353
21.353553,24,878.893547
22.297611,23,937.520612
20.719951,23,992.669145
18.732859,23,1040.973421
25.637235,22,1094.433826
21.94357,23,1170.621895
23.664661,22,1225.954913
28.510593,22,1285.078783
25.574726,21,1339.673175
29.402872,22,1397.620409
26.035745,22,1477.248378
27.938457,20,1525.878278
29.664192,22,1568.51689
24.783855,23,1622.392396
29.409257,21,1672.579432
27.195099,23,1720.611651
28.391042,21,1768.855841
26.571849,23,1814.900992
25.745081,22,1867.065863
24.795801,23,1916.33801
21.453512,23,1975.186183
25.162824,22,2026.548933
25.725952,22,2098.354285
24.906989,22,2167.230663
24.907776,22,2238.536096
22.383588,24,2337.592685
19.272428,23,2447.806465
23.198276,23,2548.989315
23.076557,23,2635.384938
24.819326,23,2720.033111
25.447009,23,2785.128441
21.928078,23,2862.073554
24.202988,23,2935.724214
16.968229,24,3015.341708
24.947678,23,3084.216953
-10.607693,31,3167.050553
-38.186009,39,3252.068945
-2.771051,39,3317.49239
-2.693401,36,3388.312746
-53.978563,41,3474.917375
-3.638447,32,3724.389428
-17.585153,35,3823.196087
-17.858396,33,3907.361578
-44.823744,38,4039.996767
-10.590809,34,4136.865178
-36.146108,37,4254.236232
