# {"t_start": 1540913569.6180418, "env_id": 0} 
r,l,t
-315.168008,50,53.120879
-317.897258,59,98.340268
-325.782077,53,144.13938
-151.381918,45,188.704492
-160.770555,53,236.331514
-118.096413,40,279.668018
-95.400736,40,326.710729
-322.64652,52,369.553878
-372.901413,53,416.573776
-312.462786,50,456.497732
-37.087672,34,484.844718
-313.233983,50,524.718502
-133.250304,43,559.685234
10.644282,27,622.223796
15.580211,25,683.635456
16.648382,24,737.233502
17.621953,23,801.119454
23.131613,23,870.288506
21.000357,22,928.35181
19.545,22,981.112842
18.222935,22,1031.177056
21.727973,22,1079.626887
24.573788,23,1152.866863
25.421854,22,1208.951046
28.194891,22,1271.613762
26.501133,21,1327.522227
27.283981,21,1383.881095
24.982883,21,1451.632502
26.483516,20,1505.589583
29.748486,21,1550.947694
28.463344,21,1597.194602
25.51202,22,1649.820975
28.519327,21,1702.412137
28.267026,22,1740.730742
26.626177,22,1790.441433
23.697599,22,1840.90052
20.896617,22,1890.918824
20.419624,22,1944.552189
21.831028,22,2005.595278
22.964474,23,2060.655375
22.298665,22,2135.881969
23.767529,23,2213.747259
23.434712,23,2284.819514
20.631772,23,2389.675854
24.000746,23,2493.921381
23.817686,23,2592.985716
26.221063,23,2678.388622
22.198345,23,2748.49846
27.156123,22,2819.148525
23.726613,23,2893.66286
25.437544,23,2971.039436
23.063725,23,3050.872914
-7.780565,32,3135.114475
16.93153,27,3213.477829
-115.918924,47,3290.078584
-26.743222,43,3364.497265
-65.280301,42,3455.07023
-6.70226,32,3698.712371
-50.846338,38,3807.126004
-14.9258,33,3897.291407
-38.590733,36,4019.212854
-10.609947,33,4100.692214
-34.882553,37,4213.081229
