# {"t_start": 1540913569.6822278, "env_id": 0} 
r,l,t
-322.157155,50,53.091352
-325.875851,60,98.596771
-365.333134,55,144.906304
-336.103415,63,200.536429
-7.113507,35,239.833609
-139.936826,44,287.475106
-343.581847,56,347.45549
-305.628424,49,385.795117
-373.390728,55,432.934502
-324.076682,49,470.838872
-65.084465,38,504.615526
-322.827908,50,545.667529
-124.450352,43,606.467328
18.248951,25,667.620365
20.427297,23,719.453436
20.801394,23,783.39536
22.924166,22,853.252299
23.74286,22,919.019236
21.069662,23,971.562014
16.090071,23,1022.665053
16.381134,23,1072.042438
23.185327,22,1143.302968
24.593396,22,1202.065998
27.364337,22,1260.889104
25.148373,22,1322.027568
28.351257,21,1379.892183
28.162668,20,1438.655066
26.3143,20,1502.441726
28.575288,22,1549.30064
26.845919,22,1600.125121
27.539747,22,1650.435924
28.591616,22,1704.043579
25.741687,22,1744.1723
24.899431,22,1793.551805
22.216364,23,1845.076439
23.507836,22,1895.382603
22.735625,23,1953.819406
22.037849,22,2014.478719
17.092528,23,2074.95117
24.502846,22,2147.132268
24.586711,23,2223.456162
22.079154,23,2297.776642
20.900183,23,2404.209414
19.493194,23,2511.024182
23.561749,23,2599.337443
23.332761,23,2691.681974
22.850631,23,2759.408105
25.108125,23,2835.731949
20.172656,23,2907.985267
24.637298,23,2988.64551
21.214472,24,3064.381794
-27.011603,31,3147.469477
-30.715251,33,3229.323962
-11.040045,31,3282.927916
-56.312332,45,3352.660124
-20.125308,39,3443.510988
-9.108072,32,3681.224676
-31.731749,35,3768.722565
0.398832,30,3860.364047
-17.57148,34,3964.853178
7.374233,28,4056.630224
-6.300967,32,4146.710643
-8.947109,37,4275.697244
