# {"t_start": 1540910375.3243597, "env_id": 0} 
r,l,t
-310.065898,50,53.16005
-300.929971,59,97.323996
-343.323405,56,145.403377
-200.18365,56,200.212845
17.237775,30,226.821284
-21.034708,35,269.334614
-176.442137,44,322.366561
-123.520474,42,363.334975
-339.040138,52,409.03721
-187.257319,46,448.931301
-113.192348,41,480.42003
-72.984142,37,510.345638
-308.949318,50,551.315525
-12.766688,31,596.93933
9.774898,26,651.194426
-21.356556,32,720.462184
16.521988,24,777.353216
20.423078,24,856.025946
22.830688,23,920.50688
19.455803,22,967.544469
18.574078,22,1021.627455
15.643681,23,1070.247823
14.967556,23,1133.298133
16.036491,23,1201.297745
21.8661,22,1263.505995
27.455688,22,1326.14314
27.320433,22,1388.302406
25.209311,21,1449.752492
22.777861,21,1515.542301
26.038156,22,1565.233289
28.762292,20,1606.238585
26.816192,22,1658.587612
25.599868,22,1716.958762
27.884524,23,1754.946739
26.471652,22,1807.061996
25.676413,22,1857.185696
27.602326,21,1906.452753
23.017304,22,1959.869981
24.986279,21,2018.015441
24.390135,22,2070.177029
25.877415,22,2146.109821
25.306502,22,2222.912732
23.999651,23,2292.308746
20.088427,24,2398.084858
23.642112,23,2509.280774
21.719103,24,2623.325617
25.288895,23,2705.607056
24.892013,23,2785.184078
25.842291,23,2863.743914
24.570622,23,2937.871243
25.01371,23,3018.378154
26.214229,23,3103.19837
25.190127,22,3176.711256
