# {"t_start": 1540910375.1567285, "env_id": 0} 
r,l,t
-322.157155,50,52.963191
-325.875851,60,97.512177
-365.333134,55,145.195913
-336.103415,63,203.066261
-7.113507,35,243.689872
-139.936826,44,295.426052
-343.581847,56,357.370841
-305.628424,49,396.496068
-373.390728,55,443.937996
-324.076682,49,482.616004
-65.084465,38,516.991181
-322.827908,50,558.422791
-124.450352,43,620.154333
18.248951,25,680.875689
20.427297,23,733.167584
20.801394,23,797.627784
22.924166,22,867.584555
23.74286,22,932.977023
21.069662,23,986.273693
16.090071,23,1037.623524
16.381134,23,1087.984272
23.185327,22,1159.261629
24.593396,22,1218.10633
27.364337,22,1277.29613
25.148373,22,1338.67525
28.351257,21,1397.086201
28.162668,20,1456.506517
26.3143,20,1520.265057
28.575288,22,1567.449526
26.845919,22,1617.765135
27.539747,22,1668.610265
28.591616,22,1721.589504
25.741687,22,1761.986911
24.899431,22,1814.54727
22.216364,23,1866.2588
23.507836,22,1917.918955
22.735625,23,1977.565697
22.037849,22,2038.299884
17.092528,23,2099.982146
24.502846,22,2173.55371
24.586711,23,2250.38288
22.079154,23,2325.453086
20.900183,23,2434.615508
19.493194,23,2547.982363
23.561749,23,2642.536777
23.332761,23,2739.130486
22.850631,23,2808.432746
25.108125,23,2888.846687
20.172656,23,2961.415329
24.637298,23,3043.316494
21.214472,24,3125.114869
