# {"t_start": 1540910375.4241714, "env_id": 0} 
r,l,t
-312.783853,50,53.061089
-320.882061,59,97.29415
-300.6357,57,145.79522
-254.335729,55,199.919948
-5.79889,35,236.154337
-306.774071,58,304.928123
-367.051984,55,361.645417
-370.513081,53,407.270384
-233.89947,47,448.429626
-86.280529,39,478.901666
-65.605009,38,508.762986
-60.202749,36,538.939731
-82.662711,40,573.022488
17.562999,25,622.446096
18.293599,25,683.708095
21.063937,23,732.913228
21.009517,23,793.112767
20.691998,22,870.267576
22.410127,22,934.241486
18.579465,22,983.21551
16.294284,23,1036.584892
15.279984,23,1086.877833
22.513319,23,1154.837772
25.310812,22,1216.661598
27.250298,22,1279.268814
27.334545,21,1336.01524
27.267815,21,1395.143872
26.27916,21,1456.603027
27.385682,21,1522.418121
30.370679,20,1563.232938
28.886111,22,1611.921691
30.315658,22,1666.04924
28.447031,22,1719.853315
28.595487,22,1761.168386
27.831216,22,1813.05812
23.571585,22,1862.843542
22.117691,22,1912.725285
21.111677,22,1968.147854
22.157458,22,2027.041206
22.0839,23,2088.502141
22.627818,23,2163.898865
25.002314,22,2242.072094
25.855118,22,2306.665094
22.811765,22,2410.447318
23.823354,23,2520.265961
22.124146,23,2629.376166
25.99331,23,2711.551214
24.896214,22,2785.581977
25.918518,22,2860.583792
24.111632,23,2934.613645
25.646781,23,3012.639891
22.72025,23,3097.190151
27.368151,21,3166.752977
