# {"t_start": 1540910375.2113872, "env_id": 0} 
r,l,t
-319.22339,50,53.227317
-324.264305,60,97.717748
-300.068634,59,150.695062
-238.876336,55,201.516989
5.569453,31,234.440009
-286.344893,59,305.073143
-334.427543,55,361.790039
-332.402945,52,406.641781
-299.860232,50,449.722079
-127.933336,42,481.300983
-32.514726,33,508.994439
-62.782685,37,539.691425
-12.944649,31,567.952217
-59.79468,37,640.377683
16.123406,25,706.724165
18.992503,24,761.963013
18.344888,23,825.559556
22.530295,23,894.907366
22.250112,23,957.123417
18.980225,22,1006.44118
19.663085,22,1056.008745
22.81552,23,1112.151398
23.135862,22,1183.367857
23.388354,23,1241.330728
27.815517,22,1304.589285
26.076975,21,1359.652686
27.623406,21,1414.434598
27.725893,22,1490.491528
26.894023,20,1543.113843
28.931039,23,1586.794487
24.173709,22,1633.785856
30.171155,22,1690.984443
28.178578,22,1737.244942
28.152824,21,1785.685761
28.323923,22,1829.054803
25.66697,22,1882.149373
25.586925,22,1933.148813
23.857002,22,1992.137866
27.534141,22,2047.75551
25.184468,22,2109.837201
24.185462,22,2187.14746
24.602231,22,2261.890131
22.014542,23,2338.845667
22.114539,23,2456.134972
23.073108,23,2559.893126
23.732286,23,2657.66657
25.116885,23,2753.971239
25.127495,23,2822.683821
20.320229,24,2903.185074
26.538853,23,2975.921569
25.731872,23,3055.504979
17.486686,25,3138.167536
