# {"t_start": 1540910375.112317, "env_id": 0} 
r,l,t
-315.168008,50,52.986583
-317.897258,59,97.250397
-325.782077,53,144.256457
-151.381918,45,190.96688
-160.770555,53,239.835556
-118.096413,40,286.615362
-95.400736,40,336.415898
-322.64652,52,379.966572
-372.901413,53,427.540769
-312.462786,50,468.022567
-37.087672,34,496.752464
-313.233983,50,537.197279
-133.250304,43,573.102118
10.644282,27,635.955594
15.580211,25,697.275393
16.648382,24,751.116427
17.621953,23,815.319108
23.131613,23,884.692538
21.000357,22,942.674811
19.545,22,996.195898
18.222935,22,1046.732087
21.727973,22,1095.540269
24.573788,23,1168.738177
25.421854,22,1225.046515
28.194891,22,1288.175182
26.501133,21,1344.289448
27.283981,21,1401.006612
24.982883,21,1469.512515
26.483516,20,1523.373871
29.748486,21,1569.084397
28.463344,21,1614.828418
25.51202,22,1667.990898
28.519327,21,1719.998609
28.267026,22,1758.513981
26.626177,22,1811.018001
23.697599,22,1862.050303
20.896617,22,1913.383946
20.419624,22,1967.954266
21.831028,22,2029.45946
22.964474,23,2085.29829
22.298665,22,2162.405168
23.767529,23,2240.578697
23.434712,23,2312.399926
20.631772,23,2419.539032
24.000746,23,2529.438737
23.817686,23,2635.795033
26.221063,23,2725.737128
22.198345,23,2796.692935
27.156123,22,2871.647555
23.726613,23,2947.010982
25.437544,23,3025.332262
23.063725,23,3110.758234
