# {"t_start": 1540910375.0614154, "env_id": 0} 
r,l,t
-314.778439,50,53.011402
-323.997438,60,97.479691
-303.482807,61,151.335102
-245.098237,54,201.82487
6.352171,33,238.514262
-224.384646,47,293.453431
-165.12228,43,341.758997
-330.685841,51,386.312261
-261.124898,50,429.434653
-133.172818,41,461.944626
-62.623713,37,492.235518
-306.949477,49,532.660418
-171.91747,45,571.982477
10.385714,27,624.250625
11.9356,26,697.043361
19.359441,24,750.050883
18.619855,23,812.431433
21.353553,24,893.186482
22.297611,23,952.236783
20.719951,23,1007.825995
18.732859,23,1056.520254
25.637235,22,1110.430875
21.94357,23,1186.534815
23.664661,22,1241.924261
28.510593,22,1301.58007
25.574726,21,1356.458426
29.402872,22,1414.98988
26.035745,22,1495.091534
27.938457,20,1543.890569
29.664192,22,1586.682725
24.783855,23,1640.046325
29.409257,21,1690.903447
27.195099,23,1738.270107
28.391042,21,1786.859343
26.571849,23,1836.243005
25.745081,22,1888.429668
24.795801,23,1939.227791
21.453512,23,1999.146297
25.162824,22,2050.431421
25.725952,22,2123.737623
24.906989,22,2193.799891
24.907776,22,2265.614222
22.383588,24,2365.400564
19.272428,23,2480.896446
23.198276,23,2588.317385
23.076557,23,2681.080992
24.819326,23,2768.136753
25.447009,23,2834.750102
21.928078,23,2915.224532
24.202988,23,2989.178207
16.968229,24,3071.914074
24.947678,23,3148.14223
