# {"t_start": 1540910375.3739371, "env_id": 0} 
r,l,t
-319.741465,50,53.101808
-346.27222,59,97.389175
-319.324995,56,145.326463
-305.383391,61,202.24422
2.036595,34,240.517678
-188.060093,47,295.587124
-352.848679,56,357.647281
-295.039896,48,395.978938
-375.347433,54,442.86757
-300.324594,49,481.55002
-26.61543,31,508.471416
-167.384226,45,546.025261
-48.869116,35,582.178488
9.923435,26,645.532242
12.91178,25,706.725918
20.031702,23,755.046312
19.539108,23,818.164499
23.373025,23,890.361025
21.439704,22,947.544249
18.721233,22,1000.300064
20.156458,23,1054.373263
22.592685,22,1103.084094
24.08095,23,1174.601987
26.638828,22,1233.776375
26.509702,22,1295.842905
25.798775,21,1348.600387
26.398851,21,1407.827961
25.389404,20,1474.811239
27.448999,21,1529.489884
29.613807,21,1572.977304
27.969855,21,1621.492662
26.573992,21,1671.296745
28.45405,21,1721.971951
24.891069,23,1764.900061
23.882752,22,1815.808146
23.723843,23,1869.290427
23.599001,22,1924.076186
23.778217,22,1979.020428
21.280464,23,2040.228007
24.163625,23,2102.053141
24.063196,22,2174.93712
24.95386,23,2251.471851
20.326597,23,2334.001217
23.357516,23,2442.845148
25.810602,23,2552.100542
24.682154,23,2647.416457
26.101386,23,2743.708846
25.958215,23,2814.494154
22.601787,23,2890.13448
20.086996,23,2966.793408
25.418376,23,3045.880556
18.957298,25,3133.712863
