# {"t_start": 1540910375.2659914, "env_id": 0} 
r,l,t
-311.389294,50,53.212424
-326.245811,57,93.504629
-284.204833,58,145.389773
-353.670745,57,200.422797
8.595343,32,233.724115
-140.151819,42,284.47974
-310.631717,52,341.954453
-328.918375,51,386.433913
-113.116779,43,422.749244
-336.608945,50,463.319868
-70.239832,37,496.749352
-232.106209,47,532.790146
-78.963373,38,567.839627
-40.495355,34,624.853817
10.770255,27,700.721998
19.73746,23,754.146339
17.357881,24,818.361548
21.811006,22,882.802009
21.989366,23,948.91372
19.990593,22,998.225719
20.53121,23,1052.364048
22.804864,22,1104.327056
23.603742,23,1175.149118
25.517564,23,1237.486661
26.423897,22,1298.356991
26.310442,21,1351.668433
27.248526,21,1408.645602
26.861562,21,1482.395956
26.877008,20,1536.4042
30.288318,21,1574.214974
28.270973,23,1627.904944
31.038665,21,1682.232266
28.573187,22,1729.430706
29.529599,21,1780.533145
28.541644,22,1817.601063
29.055546,22,1873.359177
25.217778,22,1925.008378
23.365277,23,1988.246431
25.168828,23,2045.960139
17.331108,23,2106.136921
23.219082,23,2187.872184
23.996774,23,2262.86116
23.492834,23,2348.61963
22.017293,23,2462.30974
20.980983,23,2568.876645
23.585965,23,2658.750085
24.064751,23,2757.244479
25.418671,22,2821.002784
22.855376,24,2902.604955
24.321037,23,2979.398437
26.83459,23,3055.404684
17.660948,25,3137.951686
